"순번","ID","도시계획코드","분류명","조서ID","고시ID","라벨명","고시일자","X좌표","Y좌표"
"54935","생활서비스시설_공원_0754","ZON216","생활서비스시설_공원"," "," ","마을마당(대조)"," ","",""
"54936","생활서비스시설_공원_0755","ZON216","생활서비스시설_공원"," "," ","어린이공원(참다래)"," ","",""
"54937","생활서비스시설_공원_0757","ZON216","생활서비스시설_공원"," "," ","마을마당(갈현동)"," ","",""
"54938","생활서비스시설_공원_0758","ZON216","생활서비스시설_공원"," "," ","마을마당(응암)"," ","",""
"55433","생활서비스시설_공원_0416","ZON216","생활서비스시설_공원"," "," ","마을마당(종암2동마을마당)"," ","",""
"55434","생활서비스시설_공원_0420","ZON216","생활서비스시설_공원"," "," ","어린이공원(돌뫼)"," ","",""
"55435","생활서비스시설_공원_0423","ZON216","생활서비스시설_공원"," "," ","기타공원(동소문동가로휴식공간)"," ","",""
"55436","생활서비스시설_공원_0426","ZON216","생활서비스시설_공원"," "," ","기타공원(정릉1동쉼터)"," ","",""
"55437","생활서비스시설_공원_0428","ZON216","생활서비스시설_공원"," "," ","기타공원(종암2동가로쉼터)"," ","",""
"55438","생활서비스시설_공원_0432","ZON216","생활서비스시설_공원"," "," ","마을마당(정릉3동)"," ","",""
"55439","생활서비스시설_공원_0435","ZON216","생활서비스시설_공원"," "," ","기타공원(종암1동가로쉼터)"," ","",""
"55440","생활서비스시설_공원_0191","ZON216","생활서비스시설_공원"," "," ","어린이공원(응봉새말)"," ","",""
"55441","생활서비스시설_공원_0193","ZON216","생활서비스시설_공원"," "," ","마을마당(송정)"," ","",""
"55442","생활서비스시설_공원_0194","ZON216","생활서비스시설_공원"," "," ","어린이공원(열림)"," ","",""
"55443","생활서비스시설_공원_0195","ZON216","생활서비스시설_공원"," "," ","어린이공원(아남)"," ","",""
"55444","생활서비스시설_공원_0196","ZON216","생활서비스시설_공원"," "," ","소공원(옥수2쉼터)"," ","",""
"55445","생활서비스시설_공원_0198","ZON216","생활서비스시설_공원"," "," ","소공원(상왕십리은행나무쉼터)"," ","",""
"55446","생활서비스시설_공원_0199","ZON216","생활서비스시설_공원"," "," ","어린이공원(옥일)"," ","",""
"55447","생활서비스시설_공원_0101","ZON216","생활서비스시설_공원"," "," ","근린공원(사직<시공원>)"," ","",""
"55448","생활서비스시설_공원_0104","ZON216","생활서비스시설_공원"," "," ","근린공원(창덕)"," ","",""
"55449","생활서비스시설_공원_0106","ZON216","생활서비스시설_공원"," "," ","도시자연공원(북한산<시공원>)"," ","",""
"55450","생활서비스시설_공원_0018","ZON216","생활서비스시설_공원"," "," ","광장(서울광장)"," ","",""
"55451","생활서비스시설_공원_0114","ZON216","생활서비스시설_공원"," "," ","마을마당(신당4동)"," ","",""
